code,language,sub_language,total,total_male,total_female,rural,rural_male,rural_female,urban,urban_male,urban_female
1002,Assamese,Assamese,14816414,7555350,7261064,12680101,6458345,6221756,2136313,1097005,1039308
1999,Assamese,Others,494937,255233,239704,464600,239370,225230,30337,15863,14474
2007,Bengali,Bengali,96177835,49254753,46923082,68921285,35356084,33565201,27256550,13898669,13357881
2011,Bengali,Chakma,228281,116928,111353,220162,112745,107417,8119,4183,3936
2015,Bengali,Haijong,71792,36364,35428,65601,33243,32358,6191,3121,3070
2044,Bengali,Rajbangsi,475861,244079,231782,437408,224461,212947,38453,19618,18835
2999,Bengali,Others,283900,146628,137272,270389,139677,130712,13511,6951,6560
3001,Bodo,Bodo,1454547,730541,724006,1396225,700733,695492,58322,29808,28514
3003,Bodo,Kachari,15984,8204,7780,12784,6527,6257,3200,1677,1523
3004,Bodo,Mech,11546,5849,5697,10064,5078,4986,1482,771,711
3999,Bodo,Others,852,423,429,689,346,343,163,77,86
4001,Dogri,Dogri,2596763,1369578,1227185,1903657,996806,906851,693106,372772,320334
4999,Dogri,Others,4,3,1,1,1,0,3,2,1
5018,Gujarati,Gujarati,55036204,28331451,26704753,32767517,16777859,15989658,22268687,11553592,10715095
5019,Gujarati,Gujrao,15431,7915,7516,14626,7518,7108,805,397,408
5052,Gujarati,Pattani,16510,8296,8214,15904,7976,7928,606,320,286
5054,Gujarati,Ponchi,13812,7221,6591,7516,3899,3617,6296,3322,2974
5057,Gujarati,Saurashtra,247702,124776,122926,15888,8137,7751,231814,116639,115175
5999,Gujarati,Others,162895,82383,80512,60045,30383,29662,102850,52000,50850
6030,Hindi,Awadhi,3850906,1956073,1894833,3731591,1892248,1839343,119315,63825,55490
6040,Hindi,Baghati,15835,8141,7694,15128,7771,7357,707,370,337
6042,Hindi,Bagheli,2679129,1379891,1299238,2354669,1210613,1144056,324460,169278,155182
6045,Hindi,Bagri Rajasthani,234227,123493,110734,206796,109071,97725,27431,14422,13009
6066,Hindi,Banjari,1581271,823468,757803,1453870,756514,697356,127401,66954,60447
6086,Hindi,Bhadrawahi,98806,50478,48328,90354,46083,44271,8452,4395,4057
6089,Hindi,Bhagoria,20924,10299,10625,20841,10259,10582,83,40,43
6096,Hindi,Bharmauri,181069,90634,90435,175505,87745,87760,5564,2889,2675
6102,Hindi,Bhojpuri,50579447,26069236,24510211,45323817,23181849,22141968,5255630,2887387,2368243
6119,Hindi,Bishnoi,12079,4978,7101,10521,4286,6235,1558,692,866
6123,Hindi,Brajbhasha,1556314,840267,716047,1248175,674909,573266,308139,165358,142781
6125,Hindi,Bundeli,5626356,2974600,2651756,4600216,2433554,2166662,1026140,541046,485094
6133,Hindi,Chambeali,125746,62452,63294,107910,53287,54623,17836,9165,8671
6142,Hindi,Chhattisgarhi,16245190,8119432,8125758,13461070,6713943,6747127,2784120,1405489,1378631
6149,Hindi,Churahi,75552,38201,37351,75422,38136,37286,130,65,65
6173,Hindi,Dhundhari,1476446,763128,713318,1196293,617793,578500,280153,145335,134818
6195,Hindi,Garhwali,2482089,1198416,1283673,2004266,946910,1057356,477823,251506,226317
6198,Hindi,Gawari,19062,9963,9099,17400,9090,8310,1662,873,789
6207,Hindi,Gojri,1227901,640395,587506,1173849,611452,562397,54052,28943,25109
6231,Hindi,Handuri,47803,24658,23145,42436,21882,20554,5367,2776,2591
6232,Hindi,Hara,2944356,1528163,1416193,2290012,1186853,1103159,654344,341310,313034
6235,Hindi,Haryanvi,9806519,5216490,4590029,8147073,4336083,3810990,1659446,880407,779039
6240,Hindi,Hindi,322230097,170506524,151723573,208823135,109700046,99123089,113406962,60806478,52600484
6265,Hindi,Jaunpuri,136779,71293,65486,130195,67664,62531,6584,3629,2955
6291,Hindi,Kangri,1117342,547695,569647,1069044,522688,546356,48298,25007,23291
6311,Hindi,Khari Boli,50195,26156,24039,40310,20709,19601,9885,5447,4438
6320,Hindi,Khortha,8038735,4138148,3900587,7094593,3644396,3450197,944142,493752,450390
6336,Hindi,Kulvi,196295,99449,96846,185690,94120,91570,10605,5329,5276
6340,Hindi,Kumauni,2081057,1012120,1068937,1774955,852859,922096,306102,159261,146841
6345,Hindi,Kurmali Thar,311175,157107,154068,308621,155776,152845,2554,1331,1223
6353,Hindi,Lamani,3276548,1677395,1599153,2930089,1498172,1431917,346459,179223,167236
6355,Hindi,Laria,89876,44092,45784,86904,42635,44269,2972,1457,1515
6358,Hindi,Lodhi,139180,69225,69955,132833,66053,66780,6347,3172,3175
6376,Hindi,Magadhi,12706825,6590948,6115877,10972770,5676599,5296171,1734055,914349,819706
6391,Hindi,Malvi,5212617,2651647,2560970,4684735,2381397,2303338,527882,270250,257632
6394,Hindi,Mandeali,622590,307327,315263,569835,280286,289549,52755,27041,25714
6400,Hindi,Marwari,7831749,4065111,3766638,5436951,2805244,2631707,2394798,1259867,1134931
6408,Hindi,Mewari,4212262,2125491,2086771,3681530,1852743,1828787,530732,272748,257984
6409,Hindi,Mewati,856643,446446,410197,806240,419941,386299,50403,26505,23898
6420,Hindi,Nagpuria,763014,384858,378156,680822,342979,337843,82192,41879,40313
6432,Hindi,Nimadi,2309265,1178004,1131261,2074582,1057548,1017034,234683,120456,114227
6438,Hindi,Padari,17279,9076,8203,17246,9063,8183,33,13,20
6439,Hindi,Pahari,3253889,1651189,1602700,3001723,1516737,1484986,252166,134452,117714
6449,Hindi,Palmuha,23579,11881,11698,23278,11711,11567,301,170,131
6451,Hindi,Panch Pargania,244914,125800,119114,226645,116219,110426,18269,9581,8688
6452,Hindi,Pando,15595,7971,7624,15146,7732,7414,449,239,210
6454,Hindi,Pangwali,18668,9346,9322,18156,9077,9079,512,269,243
6466,Hindi,Pawari,325772,162606,163166,313871,156525,157346,11901,6081,5820
6476,Hindi,Puran,12375,6220,6155,12210,6135,6075,165,85,80
6489,Hindi,Rajasthani,25806344,13314254,12492090,20164599,10382104,9782495,5641745,2932150,2709595
6503,Hindi,Sadan,4345677,2180340,2165337,4045994,2030137,2015857,299683,150203,149480
6530,Hindi,Sirmauri,107401,55113,52288,105752,54136,51616,1649,977,672
6535,Hindi,Sondwari,229788,118221,111567,229032,117837,111195,756,384,372
6541,Hindi,Sugali,170987,87078,83909,154358,78769,75589,16629,8309,8320
6547,Hindi,Surgujia,1738256,873569,864687,1641682,824833,816849,96574,48736,47838
6548,Hindi,Surjapuri,2256228,1165836,1090392,2214811,1143889,1070922,41417,21947,19470
6999,Hindi,Others,16711170,8799795,7911375,15456650,8121866,7334784,1254520,677929,576591
7002,Kannada,Badaga,133550,63780,69770,81090,38645,42445,52460,25135,27325
7016,Kannada,Kannada,43506272,22014001,21492271,30614889,15462374,15152515,12891383,6551627,6339756
7027,Kannada,Kuruba,24189,11881,12308,21295,10462,10833,2894,1419,1475
7041,Kannada,Prakritha,12257,6372,5885,2868,1544,1324,9389,4828,4561
7999,Kannada,Others,30244,15258,14986,18661,9335,9326,11583,5923,5660
8005,Kashmiri,Kashmiri,6554369,3380350,3174019,4372791,2255089,2117702,2181578,1125261,1056317
8010,Kashmiri,Kishtwari,39748,20415,19333,36596,18725,17871,3152,1690,1462
8018,Kashmiri,Siraji,124896,63823,61073,119507,60918,58589,5389,2905,2484
8019,Kashmiri,Dardi,25600,13544,12056,24219,12761,11458,1381,783,598
8999,Kashmiri,Others,52974,27407,25567,52009,26898,25111,965,509,456
9011,Konkani,Konkani,2146906,1048165,1098741,876124,431164,444960,1270782,617001,653781
9013,Konkani,Kudubi,17209,8648,8561,15910,7989,7921,1299,659,640
9016,Konkani,Malwani,23617,11664,11953,19695,9684,10011,3922,1980,1942
9020,Konkani,Nawait,13123,6290,6833,7128,3383,3745,5995,2907,3088
9028,Konkani,Gorboli,50259,27016,23243,48927,26304,22623,1332,712,620
9999,Konkani,Others,5388,2804,2584,2447,1265,1182,2941,1539,1402
10008,Maithili,Maithili,13353347,6992706,6360641,12311098,6422768,5888330,1042249,569938,472311
10011,Maithili,Purbi Maithili,11116,5728,5388,7994,4038,3956,3122,1690,1432
10013,Maithili,Thati,165420,86606,78814,143006,74252,68754,22414,12354,10060
10014,Maithili,Tharu,53575,27012,26563,51645,25875,25770,1930,1137,793
10999,Maithili,Others,6,4,2,2,2,0,4,2,2
11016,Malayalam,Malayalam,34776533,16681977,18094556,17355542,8339365,9016177,17420991,8342612,9078379
11023,Malayalam,Pania,22808,11015,11793,19391,9340,10051,3417,1675,1742
11026,Malayalam,Yerava,26563,13019,13544,25905,12694,13211,658,325,333
11999,Malayalam,Others,12915,6373,6542,10245,5008,5237,2670,1365,1305
12003,Manipuri,Manipuri,1760913,875852,885061,1001516,500400,501116,759397,375452,383945
12999,Manipuri,Others,166,91,75,50,25,25,116,66,50
13004,Marathi,Are,53879,26763,27116,49358,24653,24705,4521,2110,2411
13060,Marathi,Koli,13809,6990,6819,6070,3047,3023,7739,3943,3796
13071,Marathi,Marathi,82801140,42453408,40347732,52517198,26869679,25647519,30283942,15583729,14700213
13999,Marathi,Others,157852,78642,79210,124831,61923,62908,33021,16719,16302
14011,Nepali,Nepali,2925796,1523833,1401963,2009222,1037721,971501,916574,486112,430462
14999,Nepali,Others,372,196,176,257,131,126,115,65,50
15006,Odia,Bhatri,334258,164972,169286,320636,158259,162377,13622,6713,6909
15007,Odia,Bhuiya,32126,15767,16359,31288,15325,15963,838,442,396
15010,Odia,Bhumijali,34651,17278,17373,33136,16482,16654,1515,796,719
15014,Odia,Desia,227313,110563,116750,221115,107740,113375,6198,2823,3375
15043,Odia,Odia,34059266,17368096,16691170,27853540,14072275,13781265,6205726,3295821,2909905
15051,Odia,Proja,156354,75412,80942,149229,71996,77233,7125,3416,3709
15055,Odia,Relli,12969,6373,6596,5086,2533,2553,7883,3840,4043
15058,Odia,Sambalpuri,2630381,1327739,1302642,2374002,1197847,1176155,256379,129892,126487
15999,Odia,Others,34006,17104,16902,27754,13920,13834,6252,3184,3068
16002,Punjabi,Bagri,1656588,859167,797421,1496985,775430,721555,159603,83737,75866
16005,Punjabi,Bhateali,23970,12222,11748,23723,12107,11616,247,115,132
16006,Punjabi,Bilaspuri Kahluri,295805,151739,144066,278437,142523,135914,17368,9216,8152
16038,Punjabi,Punjabi,31144095,16315572,14828523,19526343,10224009,9302334,11617752,6091563,5526189
16999,Punjabi,Others,4268,2231,2037,2835,1484,1351,1433,747,686
17002,Sanskrit,Sanskrit,24709,13582,11127,10873,5844,5029,13836,7738,6098
17999,Sanskrit,Others,112,54,58,35,18,17,77,36,41
18010,Santali,Karmali,358579,183154,175425,339055,172850,166205,19524,10304,9220
18011,Santali,Mahili,26399,13177,13222,24569,12239,12330,1830,938,892
18040,Santali,Santali,6973345,3477630,3495715,6607947,3293524,3314423,365398,184106,181292
18999,Santali,Others,9869,5008,4861,9364,4745,4619,505,263,242
19002,Sindhi,Bhatia,22409,11425,10984,21789,11120,10669,620,305,315
19008,Sindhi,Kachchhi,1030602,522998,507604,579667,296324,283343,450935,226674,224261
19014,Sindhi,Sindhi,1679246,856719,822527,155615,80813,74802,1523631,775906,747725
19999,Sindhi,Others,40007,20959,19048,38065,19938,18127,1942,1021,921
20006,Tamil,Irula,11870,5850,6020,11297,5564,5733,573,286,287
20009,Tamil,Kaikadi,25870,12931,12939,9948,5021,4927,15922,7910,8012
20015,Tamil,Korava,10421,5220,5201,5492,2743,2749,4929,2477,2452
20027,Tamil,Tamil,68888839,34531580,34357259,35530671,17829882,17700789,33358168,16701698,16656470
20029,Tamil,Yerukala,58065,29031,29034,39475,19803,19672,18590,9228,9362
20999,Tamil,Others,31816,16078,15738,30707,15517,15190,1109,561,548
21046,Telugu,Telugu,80912459,40549767,40362692,53738513,26918237,26820276,27173946,13631530,13542416
21048,Telugu,Vadari,198020,99923,98097,96722,49253,47469,101298,50670,50628
21999,Telugu,Others,17261,8849,8412,9866,4989,4877,7395,3860,3535
22015,Urdu,Urdu,50725762,26156072,24569690,21091404,10824831,10266573,29634358,15331241,14303117
22016,Urdu,Bhansari,22806,11719,11087,21174,10860,10314,1632,859,773
22999,Urdu,Others,24063,12690,11373,14810,7562,7248,9253,5128,4125
23003,Adi,Adi,110307,54699,55608,92314,46179,46135,17993,8520,9473
23006,Adi,Adi Gallong,29246,14412,14834,24158,11940,12218,5088,2472,2616
23010,Adi,Adi Miniyong,13344,6651,6693,10268,5252,5016,3076,1399,1677
23040,Adi,Talgalo,69256,34158,35098,50273,25277,24996,18983,8881,10102
23999,Adi,Others,26681,13230,13451,22929,11398,11531,3752,1832,1920
24001,Afghani,Afghani,21433,11406,10027,13254,6999,6255,8179,4407,3772
24999,Afghani,Others,244,151,93,177,92,85,67,59,8
25001,Anal,Anal,24301,11859,12442,23370,11377,11993,931,482,449
25999,Anal,Others,2916,1347,1569,2788,1303,1485,128,44,84
26002,Angami,Angami,40721,19943,20778,25814,12757,13057,14907,7186,7721
26999,Angami,Others,112075,54904,57171,72721,36108,36613,39354,18796,20558
27001,Ao,Ao,119549,59413,60136,47156,23954,23202,72393,35459,36934
27003,Ao,Chungli,70782,35943,34839,59652,30398,29254,11130,5545,5585
27005,Ao,Mongsen,69094,34787,34307,64277,32379,31898,4817,2408,2409
27999,Ao,Others,583,312,271,290,167,123,293,145,148
28001,Arabic,Arabic,54871,29899,24972,38979,21197,17782,15892,8702,7190
28999,Arabic,Others,76,39,37,72,38,34,4,1,3
29002,Balti,Balti,13654,7088,6566,12126,6263,5863,1528,825,703
29999,Balti,Others,120,64,56,108,57,51,12,7,5
30002,Bhili,Baori,63028,32595,30433,60086,31064,29022,2942,1531,1411
30003,Bhili,Barel,991257,497069,494188,976087,489264,486823,15170,7805,7365
